conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
8,5e9f0ef89dc0406f89874ecc,32,167,5,1,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f12229dc0406f898750a9' '5e9f0f209dc0406f89874f09'
 '5e9f106a9dc0406f89874f9f' '5e9f11d29dc0406f89875089'
 '5e9f13589dc0406f89875291']"
8,5e9f0f209dc0406f89874f09,105,510,7,13,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f12229dc0406f898750a9' '5e9f0ef89dc0406f89874ecc'
 '5e9f106a9dc0406f89874f9f' '5e9f11d29dc0406f89875089'
 '5e9f13589dc0406f89875291']"
8,5e9f106a9dc0406f89874f9f,15,82,2,3,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f12229dc0406f898750a9' '5e9f0ef89dc0406f89874ecc'
 '5e9f0f209dc0406f89874f09' '5e9f11d29dc0406f89875089'
 '5e9f13589dc0406f89875291']"
8,5e9f11d29dc0406f89875089,12,59,1,5,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f12229dc0406f898750a9' '5e9f0ef89dc0406f89874ecc'
 '5e9f0f209dc0406f89874f09' '5e9f106a9dc0406f89874f9f'
 '5e9f13589dc0406f89875291']"
8,5e9f13589dc0406f89875291,56,293,4,7,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f12229dc0406f898750a9' '5e9f0ef89dc0406f89874ecc'
 '5e9f0f209dc0406f89874f09' '5e9f106a9dc0406f89874f9f'
 '5e9f11d29dc0406f89875089']"
9,5e9f11d29dc0406f89875089,55,277,3,6,"['5e9f0e1c9dc0406f89874dcd' '5d482eab21c9be351f76415b'
 '5e9f0ef89dc0406f89874ecc' '5e9f0f209dc0406f89874f09'
 '5e9f12229dc0406f898750a9' '5e9f13589dc0406f89875291'
 '5e9f106a9dc0406f89874f9f']"
9,5e9f0e1c9dc0406f89874dcd,58,293,6,8,"['5e9f11d29dc0406f89875089' '5d482eab21c9be351f76415b'
 '5e9f0ef89dc0406f89874ecc' '5e9f0f209dc0406f89874f09'
 '5e9f12229dc0406f898750a9' '5e9f13589dc0406f89875291'
 '5e9f106a9dc0406f89874f9f']"
9,5d482eab21c9be351f76415b,107,546,10,9,"['5e9f11d29dc0406f89875089' '5e9f0e1c9dc0406f89874dcd'
 '5e9f0ef89dc0406f89874ecc' '5e9f0f209dc0406f89874f09'
 '5e9f12229dc0406f898750a9' '5e9f13589dc0406f89875291'
 '5e9f106a9dc0406f89874f9f']"
9,5e9f0ef89dc0406f89874ecc,37,207,5,3,"['5e9f11d29dc0406f89875089' '5e9f0e1c9dc0406f89874dcd'
 '5d482eab21c9be351f76415b' '5e9f0f209dc0406f89874f09'
 '5e9f12229dc0406f898750a9' '5e9f13589dc0406f89875291'
 '5e9f106a9dc0406f89874f9f']"
9,5e9f0f209dc0406f89874f09,111,569,6,12,"['5e9f11d29dc0406f89875089' '5e9f0e1c9dc0406f89874dcd'
 '5d482eab21c9be351f76415b' '5e9f0ef89dc0406f89874ecc'
 '5e9f12229dc0406f898750a9' '5e9f13589dc0406f89875291'
 '5e9f106a9dc0406f89874f9f']"
9,5e9f12229dc0406f898750a9,169,923,12,13,"['5e9f11d29dc0406f89875089' '5e9f0e1c9dc0406f89874dcd'
 '5d482eab21c9be351f76415b' '5e9f0ef89dc0406f89874ecc'
 '5e9f0f209dc0406f89874f09' '5e9f13589dc0406f89875291'
 '5e9f106a9dc0406f89874f9f']"
9,5e9f13589dc0406f89875291,75,399,7,4,"['5e9f11d29dc0406f89875089' '5e9f0e1c9dc0406f89874dcd'
 '5d482eab21c9be351f76415b' '5e9f0ef89dc0406f89874ecc'
 '5e9f0f209dc0406f89874f09' '5e9f12229dc0406f898750a9'
 '5e9f106a9dc0406f89874f9f']"
9,5e9f106a9dc0406f89874f9f,46,224,2,7,"['5e9f11d29dc0406f89875089' '5e9f0e1c9dc0406f89874dcd'
 '5d482eab21c9be351f76415b' '5e9f0ef89dc0406f89874ecc'
 '5e9f0f209dc0406f89874f09' '5e9f12229dc0406f898750a9'
 '5e9f13589dc0406f89875291']"
10,5d482eab21c9be351f763ee2,39,175,7,2,"['5e9f0d869dc0406f89874dc3' '5e873b6646f3b80a33438e79'
 '5e9f0b9c9dc0406f89874c96' '5d482eab21c9be351f764270'
 '5e9de80c9dc0406f898722dd' '5e9f0e9e9dc0406f89874e9d']"
10,5e9f0d869dc0406f89874dc3,69,345,6,3,"['5d482eab21c9be351f763ee2' '5e873b6646f3b80a33438e79'
 '5e9f0b9c9dc0406f89874c96' '5d482eab21c9be351f764270'
 '5e9de80c9dc0406f898722dd' '5e9f0e9e9dc0406f89874e9d']"
10,5e873b6646f3b80a33438e79,86,462,6,11,"['5d482eab21c9be351f763ee2' '5e9f0d869dc0406f89874dc3'
 '5e9f0b9c9dc0406f89874c96' '5d482eab21c9be351f764270'
 '5e9de80c9dc0406f898722dd' '5e9f0e9e9dc0406f89874e9d']"
10,5e9f0b9c9dc0406f89874c96,78,409,7,7,"['5d482eab21c9be351f763ee2' '5e9f0d869dc0406f89874dc3'
 '5e873b6646f3b80a33438e79' '5d482eab21c9be351f764270'
 '5e9de80c9dc0406f898722dd' '5e9f0e9e9dc0406f89874e9d']"
10,5d482eab21c9be351f764270,54,271,4,6,"['5d482eab21c9be351f763ee2' '5e9f0d869dc0406f89874dc3'
 '5e873b6646f3b80a33438e79' '5e9f0b9c9dc0406f89874c96'
 '5e9de80c9dc0406f898722dd' '5e9f0e9e9dc0406f89874e9d']"
10,5e9de80c9dc0406f898722dd,31,159,3,1,"['5d482eab21c9be351f763ee2' '5e9f0d869dc0406f89874dc3'
 '5e873b6646f3b80a33438e79' '5e9f0b9c9dc0406f89874c96'
 '5d482eab21c9be351f764270' '5e9f0e9e9dc0406f89874e9d']"
10,5e9f0e9e9dc0406f89874e9d,40,189,3,4,"['5d482eab21c9be351f763ee2' '5e9f0d869dc0406f89874dc3'
 '5e873b6646f3b80a33438e79' '5e9f0b9c9dc0406f89874c96'
 '5d482eab21c9be351f764270' '5e9de80c9dc0406f898722dd']"
11,5e9f0b9c9dc0406f89874c96,108,545,11,10,"['5e9f0d869dc0406f89874dc3' '5e9f0e9e9dc0406f89874e9d'
 '5d482eab21c9be351f764270' '5d482eab21c9be351f763ee2'
 '5e873b6646f3b80a33438e79' '5e9de80c9dc0406f898722dd']"
11,5e9f0d869dc0406f89874dc3,65,346,3,9,"['5e9f0b9c9dc0406f89874c96' '5e9f0e9e9dc0406f89874e9d'
 '5d482eab21c9be351f764270' '5d482eab21c9be351f763ee2'
 '5e873b6646f3b80a33438e79' '5e9de80c9dc0406f898722dd']"
11,5e9f0e9e9dc0406f89874e9d,90,442,7,4,"['5e9f0b9c9dc0406f89874c96' '5e9f0d869dc0406f89874dc3'
 '5d482eab21c9be351f764270' '5d482eab21c9be351f763ee2'
 '5e873b6646f3b80a33438e79' '5e9de80c9dc0406f898722dd']"
11,5d482eab21c9be351f764270,38,198,4,1,"['5e9f0b9c9dc0406f89874c96' '5e9f0d869dc0406f89874dc3'
 '5e9f0e9e9dc0406f89874e9d' '5d482eab21c9be351f763ee2'
 '5e873b6646f3b80a33438e79' '5e9de80c9dc0406f898722dd']"
11,5d482eab21c9be351f763ee2,6,27,2,0,"['5e9f0b9c9dc0406f89874c96' '5e9f0d869dc0406f89874dc3'
 '5e9f0e9e9dc0406f89874e9d' '5d482eab21c9be351f764270'
 '5e873b6646f3b80a33438e79' '5e9de80c9dc0406f898722dd']"
11,5e873b6646f3b80a33438e79,149,755,10,20,"['5e9f0b9c9dc0406f89874c96' '5e9f0d869dc0406f89874dc3'
 '5e9f0e9e9dc0406f89874e9d' '5d482eab21c9be351f764270'
 '5d482eab21c9be351f763ee2' '5e9de80c9dc0406f898722dd']"
11,5e9de80c9dc0406f898722dd,27,141,5,1,"['5e9f0b9c9dc0406f89874c96' '5e9f0d869dc0406f89874dc3'
 '5e9f0e9e9dc0406f89874e9d' '5d482eab21c9be351f764270'
 '5d482eab21c9be351f763ee2' '5e873b6646f3b80a33438e79']"
12,5e9f0ac09dc0406f898749a1,121,607,7,11,"['5d482eab21c9be351f7640b5' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f763fde' '5e9f0ac09dc0406f898749a2'
 '5e9de5509dc0406f89872263' '5d482eab21c9be351f7640bf']"
12,5d482eab21c9be351f7640b5,58,283,3,10,"['5e9f0ac09dc0406f898749a1' '5d482eab21c9be351f763f55'
 '5d482eab21c9be351f763fde' '5e9f0ac09dc0406f898749a2'
 '5e9de5509dc0406f89872263' '5d482eab21c9be351f7640bf']"
12,5d482eab21c9be351f763f55,49,272,4,6,"['5e9f0ac09dc0406f898749a1' '5d482eab21c9be351f7640b5'
 '5d482eab21c9be351f763fde' '5e9f0ac09dc0406f898749a2'
 '5e9de5509dc0406f89872263' '5d482eab21c9be351f7640bf']"
