conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
6Z7bRNEKFA6k8sq5T,gN7gKq9DHCdktJXc4,13,67,3,0,"['SD2pay9Hbb9E7eaP5' 'MMvRBSjAiujkMrpGG' 'yeF4mt3dupEwQ4sqM'
 'jLGoj2fwNNvedYtJA' 'Sequ9CEuz23gFZ6NH']"
6Z7bRNEKFA6k8sq5T,SD2pay9Hbb9E7eaP5,24,110,4,0,"['gN7gKq9DHCdktJXc4' 'MMvRBSjAiujkMrpGG' 'yeF4mt3dupEwQ4sqM'
 'jLGoj2fwNNvedYtJA' 'Sequ9CEuz23gFZ6NH']"
6Z7bRNEKFA6k8sq5T,MMvRBSjAiujkMrpGG,9,42,2,1,"['gN7gKq9DHCdktJXc4' 'SD2pay9Hbb9E7eaP5' 'yeF4mt3dupEwQ4sqM'
 'jLGoj2fwNNvedYtJA' 'Sequ9CEuz23gFZ6NH']"
6Z7bRNEKFA6k8sq5T,yeF4mt3dupEwQ4sqM,24,130,7,0,"['gN7gKq9DHCdktJXc4' 'SD2pay9Hbb9E7eaP5' 'MMvRBSjAiujkMrpGG'
 'jLGoj2fwNNvedYtJA' 'Sequ9CEuz23gFZ6NH']"
6Z7bRNEKFA6k8sq5T,jLGoj2fwNNvedYtJA,25,120,4,1,"['gN7gKq9DHCdktJXc4' 'SD2pay9Hbb9E7eaP5' 'MMvRBSjAiujkMrpGG'
 'yeF4mt3dupEwQ4sqM' 'Sequ9CEuz23gFZ6NH']"
6Z7bRNEKFA6k8sq5T,Sequ9CEuz23gFZ6NH,8,36,2,0,"['gN7gKq9DHCdktJXc4' 'SD2pay9Hbb9E7eaP5' 'MMvRBSjAiujkMrpGG'
 'yeF4mt3dupEwQ4sqM' 'jLGoj2fwNNvedYtJA']"
5ZGrG8rMsp7cT8sAA,cK8XACLdcLDEZoSC8,17,79,2,0,['hj46q8wtE3LjH3gNu']
5ZGrG8rMsp7cT8sAA,hj46q8wtE3LjH3gNu,15,72,2,3,['cK8XACLdcLDEZoSC8']
3SAs5zfZw4icWQqYs,MrwHxPnPgwTFw6jKC,27,130,6,1,"['FBFbWfWkrzecNSHEw' '2c2az9Ej4KtaGyivZ' 'J9dnefXSRgGah7H4L'
 'tnxYCPYCmhN2gLJYC' 'kgbBaxC7cADH9bayW']"
3SAs5zfZw4icWQqYs,FBFbWfWkrzecNSHEw,20,95,6,0,"['MrwHxPnPgwTFw6jKC' '2c2az9Ej4KtaGyivZ' 'J9dnefXSRgGah7H4L'
 'tnxYCPYCmhN2gLJYC' 'kgbBaxC7cADH9bayW']"
3SAs5zfZw4icWQqYs,2c2az9Ej4KtaGyivZ,39,194,5,0,"['MrwHxPnPgwTFw6jKC' 'FBFbWfWkrzecNSHEw' 'J9dnefXSRgGah7H4L'
 'tnxYCPYCmhN2gLJYC' 'kgbBaxC7cADH9bayW']"
3SAs5zfZw4icWQqYs,J9dnefXSRgGah7H4L,2,11,1,0,"['MrwHxPnPgwTFw6jKC' 'FBFbWfWkrzecNSHEw' '2c2az9Ej4KtaGyivZ'
 'tnxYCPYCmhN2gLJYC' 'kgbBaxC7cADH9bayW']"
3SAs5zfZw4icWQqYs,tnxYCPYCmhN2gLJYC,1,3,1,0,"['MrwHxPnPgwTFw6jKC' 'FBFbWfWkrzecNSHEw' '2c2az9Ej4KtaGyivZ'
 'J9dnefXSRgGah7H4L' 'kgbBaxC7cADH9bayW']"
3SAs5zfZw4icWQqYs,kgbBaxC7cADH9bayW,1,3,1,0,"['MrwHxPnPgwTFw6jKC' 'FBFbWfWkrzecNSHEw' '2c2az9Ej4KtaGyivZ'
 'J9dnefXSRgGah7H4L' 'tnxYCPYCmhN2gLJYC']"
26vD44sevaT2b8Ppc,hbAMMYnnPo9zjBWh2,7,32,1,0,"['hL9FpgfJryv4BThtn' '8crAngrR5aQfGWJwF' 'AndABvRJbK4my2JN9'
 'WoJMFXmqBKuPGsu5L' 'dgJypxgDSp2ja9Z4g']"
26vD44sevaT2b8Ppc,hL9FpgfJryv4BThtn,4,16,1,1,"['hbAMMYnnPo9zjBWh2' '8crAngrR5aQfGWJwF' 'AndABvRJbK4my2JN9'
 'WoJMFXmqBKuPGsu5L' 'dgJypxgDSp2ja9Z4g']"
