conversation_num,discursive_diversity,batch_num,vis_img,int_verb,ort_img,rep_man,soc_pers,team_size,difficulty,score,duration,efficiency,timestamp
ooqiNQNFABgzpCztE,0.5554863928111349,1,Mixed,Mixed,Mixed,High,High,2,Easy [Corresponds to 'Hard' in PNAS],652.0,203.0,3.2118226600985222,2021-03-11T18:18:16.054Z
vZaKoQ4fsBMkpxGdE,,1,High,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],500.0,455.0,1.098901098901099,NULL_TIME
p4AX5oarWtWFGPWvP,0.5083371449163886,1,High,Low,High,Low,Low,9,Easy [Corresponds to 'Hard' in PNAS],588.0,160.0,3.675,2021-03-11T18:10:21.962Z
AFbq77Pw53RLRbDMP,0.6209224024257105,1,Mixed,Low,High,Low,Mixed,9,Easy [Corresponds to 'Hard' in PNAS],618.0,169.0,3.65680473372781,2021-03-11T18:15:38.990Z
e2d8qToqkKDroejgp,,1,High,Low,High,Low,High,1,Easy [Corresponds to 'Hard' in PNAS],650.0,155.0,4.193548387096774,NULL_TIME
3aKL3MCRqqrZNEkgN,,1,Low,Low,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],539.0,66.0,8.166666666666666,NULL_TIME
XDxqsjZTqTwRrr8Rs,,1,Mixed,Low,Low,Low,High,4,Easy [Corresponds to 'Hard' in PNAS],440.0,70.0,6.285714285714286,NULL_TIME
voDx2w6sJA8kZCuSd,0.8668673637064135,1,Low,Mixed,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],552.0,310.0,1.780645161290323,2021-03-11T18:16:28.859Z
bv52ddikW3AuiRE9g,0.8256580916954921,1,Mixed,Mixed,Low,Low,High,2,Easy [Corresponds to 'Hard' in PNAS],601.0,151.0,3.980132450331126,NULL_TIME
4EDhSYQ8LNM2kr99w,0.869140800127833,1,High,Low,Low,Low,High,2,Easy [Corresponds to 'Hard' in PNAS],652.0,286.0,2.27972027972028,NULL_TIME
8CNyRxPZcRu2Gdx9Q,,1,Low,Low,Mixed,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],468.0,63.0,7.428571428571429,2021-03-11T18:14:17.556Z
5Xhbn6mWKWep2vNzK,,1,High,High,High,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],525.0,344.0,1.5261627906976745,NULL_TIME
HCXGWtSMxQ44R9wpo,0.3857891969589591,1,High,High,High,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],562.0,175.0,3.211428571428572,2021-03-18T18:29:33.780Z
KMDchKsDwXkpW3iPf,,1,High,High,High,Mixed,Low,3,Easy [Corresponds to 'Hard' in PNAS],466.0,123.0,3.7886178861788617,NULL_TIME
oJoRhAENRoiZvPRrt,,1,High,High,High,Low,High,3,Easy [Corresponds to 'Hard' in PNAS],537.0,94.0,5.712765957446808,NULL_TIME
w8WqAkDKfWyDmZuh7,,1,High,High,High,High,High,1,Easy [Corresponds to 'Hard' in PNAS],400.0,71.0,5.633802816901408,NULL_TIME
NQiGeJnPFiN4J23Gx,0.7421080182671508,1,High,High,Low,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],610.0,218.0,2.7981651376146788,2021-03-18T18:06:16.351Z
3jD3G4xLfjKecvdyz,0.7888993793919079,1,High,High,Low,Low,Low,4,Easy [Corresponds to 'Hard' in PNAS],478.0,131.0,3.648854961832061,NULL_TIME
WTqcfDdmk9u5xbDPh,0.7952455089979653,1,High,High,Low,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],530.0,440.0,1.2045454545454546,2021-03-18T18:15:02.006Z
6RQKTtn7rA9odpafN,0.572534693500486,1,High,High,Low,Mixed,Low,4,Easy [Corresponds to 'Hard' in PNAS],569.0,200.0,2.845,2021-03-18T18:16:02.710Z
umMriktAdzY9fq28g,0.5224409421700147,1,High,Mixed,Low,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],586.0,253.0,2.316205533596838,2021-03-18T18:38:12.366Z
ahSbza6wGDYKDMkrw,,1,High,High,Mixed,Low,High,2,Easy [Corresponds to 'Hard' in PNAS],545.0,84.0,6.488095238095238,NULL_TIME
bmdWo2MGtfZhrWp5H,0.4204302386548273,1,High,Mixed,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],441.0,186.0,2.370967741935484,2021-03-18T18:12:24.940Z
eneaW7TCzuRq24e6L,,1,High,High,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],588.0,129.0,4.558139534883721,NULL_TIME
2wDPoyWiAscqxxptw,0.3457082276537544,1,High,High,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],479.0,204.0,2.3480392156862746,2021-03-18T18:14:17.881Z
Ti75Zn6rdchWdLhTe,0.4638643139120787,1,High,High,Low,Mixed,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],628.0,417.0,1.5059952038369304,2021-03-18T18:19:09.036Z
tdbqyhLERLFB6ghRP,0.6536038388159918,1,High,High,Low,High,High,4,Easy [Corresponds to 'Hard' in PNAS],652.0,124.0,5.258064516129032,2021-03-18T18:05:34.964Z
5m37FrBkkCd86cTQZ,0.5734719912517353,1,High,High,Low,High,High,4,Easy [Corresponds to 'Hard' in PNAS],506.0,234.0,2.1623931623931623,2021-03-18T18:11:03.662Z
8rpfHnCKeLjyBdqLJ,,1,High,High,Low,Low,High,4,Easy [Corresponds to 'Hard' in PNAS],433.0,81.0,5.345679012345679,NULL_TIME
6BpCLS2ecJqiRPW8J,,1,High,High,Low,Mixed,High,4,Easy [Corresponds to 'Hard' in PNAS],542.0,119.0,4.554621848739496,NULL_TIME
KgZdjaSyZWBgfZNXH,0.2526725990302852,1,High,High,Low,High,High,4,Easy [Corresponds to 'Hard' in PNAS],655.0,138.0,4.746376811594203,2021-03-18T18:18:31.162Z
ju986BPQ4DnbgZwXe,,1,High,High,Low,High,High,1,Easy [Corresponds to 'Hard' in PNAS],622.0,248.0,2.5080645161290325,NULL_TIME
CAZqhoSXTsrABco9k,0.8519534143917965,1,High,Mixed,Low,High,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],462.0,66.0,7.0,NULL_TIME
7rF2mcmnfjY65ufPC,,1,Mixed,Low,Low,Low,Mixed,2,Easy [Corresponds to 'Hard' in PNAS],503.0,70.0,7.185714285714286,NULL_TIME
ou3Ai4d2EDZdXBHdS,0.6067450387135798,1,High,Mixed,Mixed,Mixed,Low,2,Easy [Corresponds to 'Hard' in PNAS],602.0,281.0,2.1423487544483986,2021-03-18T18:15:09.865Z
YdZnggGZoek5GENPk,0.837092431121982,1,High,Mixed,Low,Mixed,High,2,Easy [Corresponds to 'Hard' in PNAS],586.0,185.0,3.167567567567568,2021-03-18T18:14:35.072Z
