conversation_num,speaker_nickname,num_words,num_chars,num_messages,function_word_accommodation,user_list
203,CanqrzZx9foFCbn8n,2,9,1,0,['LcunNGpnTqQm6Y776' 'k5buwvqPvNdDPRb64']
203,k5buwvqPvNdDPRb64,1,3,1,0,['LcunNGpnTqQm6Y776' 'CanqrzZx9foFCbn8n']
201,CanqrzZx9foFCbn8n,26,115,2,0,['k5buwvqPvNdDPRb64' 'LcunNGpnTqQm6Y776']
201,k5buwvqPvNdDPRb64,5,22,1,0,['CanqrzZx9foFCbn8n' 'LcunNGpnTqQm6Y776']
201,LcunNGpnTqQm6Y776,20,87,2,1,['CanqrzZx9foFCbn8n' 'k5buwvqPvNdDPRb64']
303,NULL_SPEAKER,1,3,1,0,[]
300,6JmgSjNJoyQsaa6wZ,15,70,1,0,[]
301,6JmgSjNJoyQsaa6wZ,3,14,1,0,[]
302,auyRviD6kYhMvDQds,14,68,1,0,['6JmgSjNJoyQsaa6wZ']
302,6JmgSjNJoyQsaa6wZ,6,31,1,0,['auyRviD6kYhMvDQds']
304,NULL_SPEAKER,1,3,1,0,[]
100,bvML9ybcH3GQvYSP4,7,31,1,0,[]
104,NULL_SPEAKER,1,3,1,0,[]
101,NULL_SPEAKER,1,3,1,0,[]
102,NULL_SPEAKER,1,3,1,0,[]
103,NULL_SPEAKER,1,3,1,0,[]
891,NULL_SPEAKER,1,3,1,0,[]
890,NULL_SPEAKER,1,3,1,0,[]
893,CwRSaMXJ3nmPG4WMC,44,242,3,4,['9qqCk9G5eNNb2PJyK' 'EcdSTcebbC9f7qbYt']
893,9qqCk9G5eNNb2PJyK,9,53,2,2,['CwRSaMXJ3nmPG4WMC' 'EcdSTcebbC9f7qbYt']
893,EcdSTcebbC9f7qbYt,20,92,1,1,['CwRSaMXJ3nmPG4WMC' '9qqCk9G5eNNb2PJyK']
892,NULL_SPEAKER,1,3,1,0,[]
894,NULL_SPEAKER,1,3,1,0,[]
530,NULL_SPEAKER,1,3,1,0,[]
533,NULL_SPEAKER,1,3,1,0,[]
534,dkdkwnNzJ8WXPbwFS,1,3,1,0,[]
531,NULL_SPEAKER,1,3,1,0,[]
532,ZKJ658xgsszRWNYWc,2,7,1,0,['dkdkwnNzJ8WXPbwFS']
532,dkdkwnNzJ8WXPbwFS,2,9,1,0,['ZKJ658xgsszRWNYWc']
111,fpqzq6BCtDYZBGu96,32,142,6,0,['59hfXkm5MZqFMLG2E']
111,59hfXkm5MZqFMLG2E,62,302,10,1,['fpqzq6BCtDYZBGu96']
113,59hfXkm5MZqFMLG2E,7,31,2,0,['fpqzq6BCtDYZBGu96' 'cx5PAP6wTo8LLoyG7']
